Date,2022 $/kW,,
1982,,,
1983,"$5,163 ",,
1984,,,
1985,"$3,954 ",,
1986,,,
1987,,,
1988,,,
1989,,,
1990,"$3,686 ",,
1991,,,
1992,,,
1993,,,
1994,"$2,348 ",,
1995,,,
1996,,,
1997,,,
1998,"$1,769 ",,
1999,"$2,079 ",,
2000,"$2,094 ",,
2001,"$1,644 ",,
2002,"$1,922 ",,
2003,"$1,746 ",,
2004,"$1,609 ",,
2005,"$1,890 ",,
2006,"$2,109 ",,
2007,"$2,320 ",,
2008,"$2,595 ",,
2009,"$2,841 ",,
2010,"$2,837 ",,
2011,"$2,719 ",,
2012,"$2,456 ",,
2013,"$2,310 ",,
2014,"$2,132 ",,
2015,"$1,941 ",,
2016,"$1,986 ",,
2017,"$1,895 ",,
2018,"$1,668 ",,
2019,"$1,600 ",,
2020,"$1,633 ",,
2021,"$1,605 ",,
2022,"$1,367 ",,
,,,
,,,
